geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,0.017078623230463094,0.02569527022252874,2.9564183626379736,0.008691351179269901,0.9930653923878853,
A1CF,0.0,,,,,
A2M,6.343394238510594,0.19717010301916904,0.1096236380560111,1.7986093739967557,0.0720804934892291,0.2519970960016497
A2ML1,0.27720620366379195,-1.7412700143216253,0.9234652049678284,-1.8855826997642946,0.05935121051278496,0.22015748173118524
A3GALT2,0.0,,,,,
A4GALT,4.524000500736709,-0.015928599858959763,0.12902961916484895,-0.12344917362430789,0.9017514199078648,0.9660250434572091
A4GNT,0.0,,,,,
AAAS,4.360062827772929,0.10355925273421142,0.13188784835884165,0.7852069316685376,0.43233225200748227,0.7304531104494117
AACS,2.507991032718017,-0.29373315179637405,0.17245318255954656,-1.703263154885243,0.08851883251308876,0.2896659744181661
AADAC,0.0,,,,,
AADACL2,0.0,,,,,
AADACL3,0.0,,,,,
AADACL4,0.0,,,,,
AADAT,0.2889655505665619,0.8878998447738237,0.5028358491875745,1.7657846913826694,0.07743197777096204,0.26494654855811883
AAGAB,3.0600332729473063,-0.11105013091975323,0.15622724663782225,-0.7108243492071392,0.47719308990712495,0.763944165640097
AAK1,1.7394057552840165,-0.043109895490387865,0.2064042075054363,-0.2088615150408328,0.8345563480880535,0.9436115049430605
AAMDC,1.3329183718667705,-0.6454838952544029,0.23931441904252956,-2.697221077764191,0.006992083292253136,0.04397919056286755
AAMP,6.738284312256322,-0.16846202492642048,0.105662774462818,-1.5943365653880415,0.1108606720254529,0.3374478464774759
AANAT,0.040790302965192024,0.17493720461667445,2.3010936198088734,0.07602350600198723,0.939400397226642,
AAR2,3.355440685467386,0.16188485333558744,0.15000073471387199,1.0792270694165902,0.2804865152400756,0.5867017375684045
AARD,0.03413690965825337,-0.29156568768500407,2.7193623232973327,-0.10721840381000401,0.9146157154610555,
AARS1,4.799626394526319,-0.06408906952939407,0.12512454742335516,-0.5122022085126959,0.6085094976002117,0.8438683865337296
AARS2,3.3998115469984773,0.17330011221262376,0.149282687750742,1.16088553082581,0.24568845378210324,0.5469950354459521
AARSD1,0.27319300763906734,0.9960999372177983,0.5305504204019635,1.8774840220899611,0.06045178520777248,0.22325509694904502
AASDH,1.258955005909252,0.357654985454969,0.24526958705073348,1.458211716159447,0.14478219538192222,0.401628795189357
AASDHPPT,3.6794994975724373,0.05271683552788667,0.14269336581090872,0.369441390833438,0.7117987512056412,0.8946442766792171
AASS,2.157891956720644,-0.34361582122685547,0.1858126721761741,-1.8492593492281508,0.06442037255897695,0.2336779974139865
AATF,1.8150082733798563,0.006872441801226688,0.20256848514950837,0.03392651031652032,0.9729357531773263,0.990658564673129
AATK,0.8543881671021119,0.27339385535570176,0.2986505199336837,0.9154307028040995,0.35996556630012844,0.6668929673646279
